GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Tool-05 Risk Heatmap Visualiser,com.internship.tool,RiskHeatmapApplication,8,0,0,0,3,0,2,0,2,0
Tool-05 Risk Heatmap Visualiser,com.internship.tool,Tool05Application,8,0,0,0,3,0,2,0,2,0
Tool-05 Risk Heatmap Visualiser,com.internship.tool.service,RiskItemService,150,26,18,0,33,6,17,5,8,5
Tool-05 Risk Heatmap Visualiser,com.internship.tool.service,FileStorageService,155,0,18,0,35,0,14,0,5,0
Tool-05 Risk Heatmap Visualiser,com.internship.tool.service,RiskServiceImpl,0,129,0,8,0,31,0,11,0,7
Tool-05 Risk Heatmap Visualiser,com.internship.tool.service,EmailService,217,4,0,0,54,1,4,1,4,1
Tool-05 Risk Heatmap Visualiser,com.internship.tool.dto,RiskDto.RiskDtoBuilder,23,70,0,0,0,1,1,11,1,11
Tool-05 Risk Heatmap Visualiser,com.internship.tool.dto,ErrorResponse,241,0,40,0,9,0,37,0,17,0
Tool-05 Risk Heatmap Visualiser,com.internship.tool.dto,ErrorResponse.ErrorResponseBuilder,55,0,0,0,1,0,8,0,8,0
Tool-05 Risk Heatmap Visualiser,com.internship.tool.dto,RiskDto,365,67,78,0,3,10,52,12,13,12
Tool-05 Risk Heatmap Visualiser,com.internship.tool.config,JwtUtil,182,0,10,0,39,0,22,0,17,0
Tool-05 Risk Heatmap Visualiser,com.internship.tool.config,SwaggerConfig,48,0,0,0,16,0,2,0,2,0
Tool-05 Risk Heatmap Visualiser,com.internship.tool.config,SecurityConfig,243,0,0,0,34,0,9,0,9,0
Tool-05 Risk Heatmap Visualiser,com.internship.tool.config,AiServiceClient,155,0,0,0,38,0,5,0,5,0
Tool-05 Risk Heatmap Visualiser,com.internship.tool.config,DataLoader,11,0,0,0,4,0,3,0,3,0
Tool-05 Risk Heatmap Visualiser,com.internship.tool.config,JwtAuthFilter,91,0,10,0,25,0,7,0,2,0
Tool-05 Risk Heatmap Visualiser,com.internship.tool.config,RedisConfig,106,0,4,0,27,0,6,0,4,0
Tool-05 Risk Heatmap Visualiser,com.internship.tool.entity,Risk.RiskBuilder,33,60,0,0,0,1,3,9,3,9
Tool-05 Risk Heatmap Visualiser,com.internship.tool.entity,Risk,367,65,78,0,1,12,52,12,13,12
Tool-05 Risk Heatmap Visualiser,com.internship.tool.controller,AuthController,19,0,0,0,3,0,2,0,2,0
Tool-05 Risk Heatmap Visualiser,com.internship.tool.controller,RiskController,31,0,0,0,5,0,4,0,4,0
Tool-05 Risk Heatmap Visualiser,com.internship.tool.controller,FileController,77,0,12,0,19,0,9,0,3,0
Tool-05 Risk Heatmap Visualiser,com.internship.tool.controller,RiskItemController,83,0,0,0,14,0,10,0,10,0
Tool-05 Risk Heatmap Visualiser,com.internship.tool.exception,GlobalExceptionHandler,120,0,0,0,23,0,8,0,8,0
Tool-05 Risk Heatmap Visualiser,com.internship.tool.exception,ValidationException,0,4,0,0,0,2,0,1,0,1
Tool-05 Risk Heatmap Visualiser,com.internship.tool.exception,ResourceNotFoundException,6,4,0,0,2,2,1,1,1,1
